date,thu,tinh,ngay_text,ky_hieu,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2020-02-24,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 24/02/2020,13CE-4CE-11CE,9,6,60,89,49,41,54,70,41,21,50,46,51,13,38,19,34,63,37,37,11,23,35,31,68,80,65
2020-02-25,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 25/02/2020,10CD-14CD-12CD,76,91,79,99,11,39,87,5,87,23,93,79,68,61,40,6,18,42,4,77,48,66,72,50,76,24,36
2020-02-26,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 26/02/2020,2CB-4CB-10CB,46,19,34,14,80,98,82,5,51,12,70,64,16,63,14,91,82,30,87,53,3,10,62,83,96,47,19
2020-02-27,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 27/02/2020,6CA-5CA-8CA,22,43,83,43,52,82,44,77,73,86,12,91,62,82,91,5,0,47,58,20,94,20,60,52,81,7,6
2020-02-28,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 28/02/2020,6DZ-11DZ-12DZ,82,71,82,55,41,55,96,80,7,88,34,24,15,82,9,70,46,57,39,59,4,23,89,65,98,27,96
2020-02-29,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 29/02/2020,1DY-5DY-13DY,5,18,66,63,50,38,89,2,22,46,87,33,86,70,68,54,3,26,45,52,15,10,12,94,10,5,1
2020-03-01,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 01/03/2020,12DX-4DX-14DX,35,77,4,55,88,46,18,16,49,77,72,69,89,11,9,8,15,13,1,60,62,72,47,18,30,81,19
2020-03-02,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 02/03/2020,7DV-9DV-11DV,87,78,65,0,78,56,62,56,15,42,23,82,12,49,77,20,37,18,58,60,47,96,6,85,66,74,94
2020-03-03,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 03/03/2020,6DU-11DU-15DU,23,76,37,28,0,99,25,14,29,54,92,40,26,18,88,10,11,81,53,35,98,58,6,66,16,72,35
2020-03-04,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 04/03/2020,11DT-12DT-9DT,23,41,85,77,83,14,46,79,49,58,97,53,93,8,13,77,24,65,98,4,59,98,54,50,31,38,61
2020-03-05,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 05/03/2020,14DS-9DS-5DS,91,59,51,84,66,5,79,76,38,7,98,93,90,53,66,97,63,80,77,53,83,81,39,33,26,5,4
